,Season,Player,Team,Award
0,2023-24,Nikola Jokić,,All-NBA
1,2023-24,Giannis Antetokounmpo,,All-NBA
2,2023-24,Jayson Tatum,,All-NBA
3,2023-24,Luka Dončić,,All-NBA
4,2023-24,Shai Gilgeous-Alexander,,All-NBA
5,2022-23,Joel Embiid,,All-NBA
6,2022-23,Giannis Antetokounmpo,,All-NBA
7,2022-23,Jayson Tatum,,All-NBA
8,2022-23,Luka Dončić,,All-NBA
9,2022-23,Shai Gilgeous-Alexander,,All-NBA
10,2021-22,Nikola Jokić,,All-NBA
11,2021-22,Giannis Antetokounmpo,,All-NBA
12,2021-22,Jayson Tatum,,All-NBA
13,2021-22,Luka Dončić,,All-NBA
14,2021-22,Devin Booker,,All-NBA
15,2020-21,Nikola Jokić,,All-NBA
16,2020-21,Giannis Antetokounmpo,,All-NBA
17,2020-21,Kawhi Leonard,,All-NBA
18,2020-21,Stephen Curry,,All-NBA
19,2020-21,Luka Dončić,,All-NBA
20,2019-20,Anthony Davis,,All-NBA
21,2019-20,Giannis Antetokounmpo,,All-NBA
22,2019-20,LeBron James,,All-NBA
23,2019-20,James Harden,,All-NBA
24,2019-20,Luka Dončić,,All-NBA
25,2018-19,Nikola Jokić,,All-NBA
26,2018-19,Giannis Antetokounmpo,,All-NBA
27,2018-19,Paul George,,All-NBA
28,2018-19,James Harden,,All-NBA
29,2018-19,Stephen Curry,,All-NBA
30,2017-18,Anthony Davis,,All-NBA
31,2017-18,LeBron James,,All-NBA
32,2017-18,Kevin Durant,,All-NBA
33,2017-18,Damian Lillard,,All-NBA
34,2017-18,James Harden,,All-NBA
35,2016-17,Anthony Davis,,All-NBA
36,2016-17,LeBron James,,All-NBA
37,2016-17,Kawhi Leonard,,All-NBA
38,2016-17,James Harden,,All-NBA
39,2016-17,Russell Westbrook,,All-NBA
40,2015-16,DeAndre Jordan,,All-NBA
41,2015-16,LeBron James,,All-NBA
42,2015-16,Kawhi Leonard,,All-NBA
43,2015-16,Stephen Curry,,All-NBA
44,2015-16,Russell Westbrook,,All-NBA
45,2014-15,Marc Gasol,,All-NBA
46,2014-15,LeBron James,,All-NBA
47,2014-15,Anthony Davis,,All-NBA
48,2014-15,Stephen Curry,,All-NBA
49,2014-15,James Harden,,All-NBA
50,2013-14,Joakim Noah,,All-NBA
51,2013-14,Kevin Durant,,All-NBA
52,2013-14,LeBron James,,All-NBA
53,2013-14,James Harden,,All-NBA
54,2013-14,Chris Paul,,All-NBA
55,2012-13,Tim Duncan,,All-NBA
56,2012-13,Kevin Durant,,All-NBA
57,2012-13,LeBron James,,All-NBA
58,2012-13,Kobe Bryant,,All-NBA
59,2012-13,Chris Paul,,All-NBA
60,2011-12,Dwight Howard,,All-NBA
61,2011-12,Kevin Durant,,All-NBA
62,2011-12,LeBron James,,All-NBA
63,2011-12,Kobe Bryant,,All-NBA
64,2011-12,Chris Paul,,All-NBA
65,2010-11,Dwight Howard,,All-NBA
66,2010-11,Kevin Durant,,All-NBA
67,2010-11,LeBron James,,All-NBA
68,2010-11,Kobe Bryant,,All-NBA
69,2010-11,Derrick Rose,,All-NBA
70,2009-10,Dwight Howard,,All-NBA
71,2009-10,Kevin Durant,,All-NBA
72,2009-10,LeBron James,,All-NBA
73,2009-10,Kobe Bryant,,All-NBA
74,2009-10,Dwyane Wade,,All-NBA
75,2008-09,Dwight Howard,,All-NBA
76,2008-09,LeBron James,,All-NBA
77,2008-09,Dirk Nowitzki,,All-NBA
78,2008-09,Kobe Bryant,,All-NBA
79,2008-09,Dwyane Wade,,All-NBA
80,2007-08,Dwight Howard,,All-NBA
81,2007-08,Kevin Garnett,,All-NBA
82,2007-08,LeBron James,,All-NBA
83,2007-08,Kobe Bryant,,All-NBA
84,2007-08,Chris Paul,,All-NBA
85,2006-07,Amar'e Stoudemire,,All-NBA
86,2006-07,Tim Duncan,,All-NBA
87,2006-07,Dirk Nowitzki,,All-NBA
88,2006-07,Kobe Bryant,,All-NBA
89,2006-07,Steve Nash,,All-NBA
90,2005-06,Shaquille O'Neal,,All-NBA
91,2005-06,LeBron James,,All-NBA
92,2005-06,Dirk Nowitzki,,All-NBA
93,2005-06,Kobe Bryant,,All-NBA
94,2005-06,Steve Nash,,All-NBA
95,2004-05,Shaquille O'Neal,,All-NBA
96,2004-05,Tim Duncan,,All-NBA
97,2004-05,Dirk Nowitzki,,All-NBA
98,2004-05,Allen Iverson,,All-NBA
99,2004-05,Steve Nash,,All-NBA
100,2003-04,Shaquille O'Neal,,All-NBA
101,2003-04,Tim Duncan,,All-NBA
102,2003-04,Kevin Garnett,,All-NBA
103,2003-04,Kobe Bryant,,All-NBA
104,2003-04,Jason Kidd,,All-NBA
105,2002-03,Shaquille O'Neal,,All-NBA
106,2002-03,Tim Duncan,,All-NBA
107,2002-03,Kevin Garnett,,All-NBA
108,2002-03,Kobe Bryant,,All-NBA
109,2002-03,Tracy McGrady,,All-NBA
110,2001-02,Shaquille O'Neal,,All-NBA
111,2001-02,Tim Duncan,,All-NBA
112,2001-02,Tracy McGrady,,All-NBA
113,2001-02,Kobe Bryant,,All-NBA
114,2001-02,Jason Kidd,,All-NBA
115,2000-01,Shaquille O'Neal,,All-NBA
116,2000-01,Tim Duncan,,All-NBA
117,2000-01,Chris Webber,,All-NBA
118,2000-01,Allen Iverson,,All-NBA
119,2000-01,Jason Kidd,,All-NBA
120,1999-00,Shaquille O'Neal,,All-NBA
121,1999-00,Tim Duncan,,All-NBA
122,1999-00,Kevin Garnett,,All-NBA
123,1999-00,Jason Kidd,,All-NBA
124,1999-00,Gary Payton,,All-NBA
125,1998-99,Alonzo Mourning,,All-NBA
126,1998-99,Tim Duncan,,All-NBA
127,1998-99,Karl Malone,,All-NBA
128,1998-99,Allen Iverson,,All-NBA
129,1998-99,Jason Kidd,,All-NBA
130,1997-98,Shaquille O'Neal,,All-NBA
131,1997-98,Tim Duncan,,All-NBA
132,1997-98,Karl Malone,,All-NBA
133,1997-98,Michael Jordan,,All-NBA
134,1997-98,Gary Payton,,All-NBA
135,1996-97,Hakeem Olajuwon,,All-NBA
136,1996-97,Grant Hill,,All-NBA
137,1996-97,Karl Malone,,All-NBA
138,1996-97,Tim Hardaway,,All-NBA
139,1996-97,Michael Jordan,,All-NBA
140,1995-96,David Robinson,,All-NBA
141,1995-96,Karl Malone,,All-NBA
142,1995-96,Scottie Pippen,,All-NBA
143,1995-96,Anfernee Hardaway,,All-NBA
144,1995-96,Michael Jordan,,All-NBA
145,1994-95,David Robinson,,All-NBA
146,1994-95,Karl Malone,,All-NBA
147,1994-95,Scottie Pippen,,All-NBA
148,1994-95,Anfernee Hardaway,,All-NBA
149,1994-95,John Stockton,,All-NBA
150,1993-94,Hakeem Olajuwon,,All-NBA
151,1993-94,Karl Malone,,All-NBA
152,1993-94,Scottie Pippen,,All-NBA
153,1993-94,Latrell Sprewell,,All-NBA
154,1993-94,John Stockton,,All-NBA
155,1992-93,Hakeem Olajuwon,,All-NBA
156,1992-93,Charles Barkley,,All-NBA
157,1992-93,Karl Malone,,All-NBA
158,1992-93,Michael Jordan,,All-NBA
159,1992-93,Mark Price,,All-NBA
160,1991-92,David Robinson,,All-NBA
161,1991-92,Karl Malone,,All-NBA
162,1991-92,Chris Mullin,,All-NBA
163,1991-92,Clyde Drexler,,All-NBA
164,1991-92,Michael Jordan,,All-NBA
165,1990-91,David Robinson,,All-NBA
166,1990-91,Charles Barkley,,All-NBA
167,1990-91,Karl Malone,,All-NBA
168,1990-91,Magic Johnson,,All-NBA
169,1990-91,Michael Jordan,,All-NBA
170,1989-90,Patrick Ewing,,All-NBA
171,1989-90,Charles Barkley,,All-NBA
172,1989-90,Karl Malone,,All-NBA
173,1989-90,Magic Johnson,,All-NBA
174,1989-90,Michael Jordan,,All-NBA
175,1988-89,Hakeem Olajuwon,,All-NBA
176,1988-89,Charles Barkley,,All-NBA
177,1988-89,Karl Malone,,All-NBA
178,1988-89,Magic Johnson,,All-NBA
179,1988-89,Michael Jordan,,All-NBA
180,1987-88,Hakeem Olajuwon,,All-NBA
181,1987-88,Charles Barkley,,All-NBA
182,1987-88,Larry Bird,,All-NBA
183,1987-88,Magic Johnson,,All-NBA
184,1987-88,Michael Jordan,,All-NBA
185,1986-87,Hakeem Olajuwon,,All-NBA
186,1986-87,Larry Bird,,All-NBA
187,1986-87,Kevin McHale,,All-NBA
188,1986-87,Magic Johnson,,All-NBA
189,1986-87,Michael Jordan,,All-NBA
190,1985-86,Kareem Abdul-Jabbar,,All-NBA
191,1985-86,Larry Bird,,All-NBA
192,1985-86,Dominique Wilkins,,All-NBA
193,1985-86,Magic Johnson,,All-NBA
194,1985-86,Isiah Thomas,,All-NBA
195,1984-85,Moses Malone,,All-NBA
196,1984-85,Larry Bird,,All-NBA
197,1984-85,Bernard King,,All-NBA
198,1984-85,Magic Johnson,,All-NBA
199,1984-85,Isiah Thomas,,All-NBA
200,1983-84,Kareem Abdul-Jabbar,,All-NBA 
201,1983-84,Larry Bird,,All-NBA
202,1983-84,Bernard King,,All-NBA
203,1983-84,Magic Johnson,,All-NBA
204,1983-84,Isiah Thomas,,All-NBA
205,1982-83,Moses Malone,,All-NBA
206,1982-83,Larry Bird,,All-NBA
207,1982-83,Julius Erving,,All-NBA
208,1982-83,Magic Johnson,,All-NBA
209,1982-83,Sidney Moncrief,,All-NBA
210,1981-82,Moses Malone,,All-NBA
211,1981-82,Larry Bird,,All-NBA
212,1981-82,Julius Erving,,All-NBA
213,1981-82,George Gervin,,All-NBA
214,1981-82,Gus Williams,,All-NBA
215,1980-81,Kareem Abdul-Jabbar,,All-NBA
216,1980-81,Larry Bird,,All-NBA
217,1980-81,Julius Erving,,All-NBA
218,1980-81,George Gervin,,All-NBA
219,1980-81,Dennis Johnson,,All-NBA
220,1979-80,Kareem Abdul-Jabbar,,All-NBA
221,1979-80,Larry Bird,,All-NBA
222,1979-80,Julius Erving,,All-NBA
223,1979-80,George Gervin,,All-NBA
224,1979-80,Paul Westphal,,All-NBA
225,1978-79,Moses Malone,,All-NBA
226,1978-79,Elvin Hayes,,All-NBA
227,1978-79,Marques Johnson,,All-NBA
228,1978-79,George Gervin,,All-NBA
229,1978-79,Paul Westphal,,All-NBA
230,1977-78,Bill Walton,,All-NBA
231,1977-78,Julius Erving,,All-NBA
232,1977-78,Truck Robinson,,All-NBA
233,1977-78,George Gervin,,All-NBA
234,1977-78,David Thompson,,All-NBA
235,1976-77,Kareem Abdul-Jabbar,,All-NBA
236,1976-77,Elvin Hayes,,All-NBA
237,1976-77,David Thompson,,All-NBA
238,1976-77,Pete Maravich,,All-NBA
239,1976-77,Paul Westphal,,All-NBA
240,1975-76,Kareem Abdul-Jabbar,,All-NBA
241,1975-76,Rick Barry,,All-NBA
242,1975-76,George McGinnis,,All-NBA
243,1975-76,Tiny Archibald,,All-NBA
244,1975-76,Pete Maravich,,All-NBA
245,1975-76,Artis Gilmore,,All-NBA
246,1975-76,Julius Erving,,All-NBA
247,1975-76,Billy Knight,,All-NBA
248,1975-76,James Silas,,All-NBA
249,1975-76,Ralph Simpson,,All-NBA
250,1974-75,Bob McAdoo,,All-NBA
251,1974-75,Rick Barry,,All-NBA
252,1974-75,Elvin Hayes,,All-NBA
253,1974-75,Tiny Archibald,,All-NBA
254,1974-75,Walt Frazier,,All-NBA
255,1974-75,Artis Gilmore,,All-NBA
256,1974-75,Julius Erving,,All-NBA
257,1974-75,George McGinnis,,All-NBA
258,1974-75,Ron Boone,,All-NBA
259,1974-75,Mack Calvin,,All-NBA
260,1973-74,Kareem Abdul-Jabbar,,All-NBA
261,1973-74,Rick Barry,,All-NBA
262,1973-74,John Havlicek,,All-NBA
263,1973-74,Walt Frazier,,All-NBA
264,1973-74,Gail Goodrich,,All-NBA
265,1973-74,Artis Gilmore,,All-NBA
266,1973-74,Julius Erving,,All-NBA
267,1973-74,George McGinnis,,All-NBA
268,1973-74,Mack Calvin,,All-NBA
269,1973-74,Jimmy Jones,,All-NBA
270,1972-73,Kareem Abdul-Jabbar,,All-NBA
271,1972-73,John Havlicek,,All-NBA
272,1972-73,Spencer Haywood,,All-NBA
273,1972-73,Tiny Archibald,,All-NBA
274,1972-73,Jerry West,,All-NBA
275,1972-73,Artis Gilmore,,All-NBA
276,1972-73,Billy Cunningham,,All-NBA
277,1972-73,Julius Erving,,All-NBA
278,1972-73,Warren Jabali,,All-NBA
279,1972-73,Jimmy Jones,,All-NBA
280,1971-72,Kareem Abdul-Jabbar,,All-NBA
281,1971-72,John Havlicek,,All-NBA
282,1971-72,Spencer Haywood,,All-NBA
283,1971-72,Walt Frazier,,All-NBA
284,1971-72,Jerry West,,All-NBA
285,1971-72,Artis Gilmore,,All-NBA
286,1971-72,Rick Barry,,All-NBA
287,1971-72,Dan Issel,,All-NBA
288,1971-72,Donnie Freeman,,All-NBA
289,1971-72,Bill Melchionni,,All-NBA
290,1970-71,Kareem Abdul-Jabbar,,All-NBA
291,1970-71,Billy Cunningham,,All-NBA
292,1970-71,John Havlicek,,All-NBA
293,1970-71,Dave Bing,,All-NBA
294,1970-71,Jerry West,,All-NBA
295,1970-71,Mel Daniels,,All-NBA
296,1970-71,Rick Barry,,All-NBA
297,1970-71,Roger Brown,,All-NBA
298,1970-71,Mack Calvin,,All-NBA
299,1970-71,Charlie Scott,,All-NBA
300,1969-70,Willis Reed,,All-NBA
301,1969-70,Billy Cunningham,,All-NBA
302,1969-70,Connie Hawkins,,All-NBA
303,1969-70,Walt Frazier,,All-NBA
304,1969-70,Jerry West,,All-NBA
305,1969-70,Mel Daniels,,All-NBA
306,1969-70,Rick Barry,,All-NBA
307,1969-70,Spencer Haywood,,All-NBA
308,1969-70,Larry Jones,,All-NBA
309,1969-70,Bob Verga,,All-NBA
310,1968-69,Wes Unseld,,All-NBA
311,1968-69,Elgin Baylor,,All-NBA
312,1968-69,Billy Cunningham,,All-NBA
313,1968-69,Earl Monroe,,All-NBA
314,1968-69,Oscar Robertson,,All-NBA
315,1968-69,Mel Daniels,,All-NBA
316,1968-69,Rick Barry,,All-NBA
317,1968-69,Connie Hawkins,,All-NBA
318,1968-69,Jimmy Jones,,All-NBA
319,1968-69,Larry Jones,,All-NBA
320,1967-68,Wilt Chamberlain,,All-NBA
321,1967-68,Elgin Baylor,,All-NBA
322,1967-68,Jerry Lucas,,All-NBA
323,1967-68,Dave Bing,,All-NBA
324,1967-68,Oscar Robertson,,All-NBA
325,1967-68,Mel Daniels,,All-NBA
326,1967-68,Connie Hawkins,,All-NBA
327,1967-68,Doug Moe,,All-NBA
328,1967-68,Larry Jones,,All-NBA
329,1967-68,Charles Williams,,All-NBA
330,1966-67,Wilt Chamberlain,,All-NBA
331,1966-67,Rick Barry,,All-NBA
332,1966-67,Elgin Baylor,,All-NBA
333,1966-67,Oscar Robertson,,All-NBA
334,1966-67,Jerry West,,All-NBA
335,1965-66,Wilt Chamberlain,,All-NBA
336,1965-66,Rick Barry,,All-NBA
337,1965-66,Jerry Lucas,,All-NBA
338,1965-66,Oscar Robertson,,All-NBA
339,1965-66,Jerry West,,All-NBA
340,1964-65,Bill Russell,,All-NBA
341,1964-65,Elgin Baylor,,All-NBA
342,1964-65,Jerry Lucas,,All-NBA
343,1964-65,Oscar Robertson,,All-NBA
344,1964-65,Jerry West,,All-NBA
345,1963-64,Wilt Chamberlain,,All-NBA
346,1963-64,Elgin Baylor,,All-NBA
347,1963-64,Bob Pettit,,All-NBA
348,1963-64,Oscar Robertson,,All-NBA
349,1963-64,Jerry West,,All-NBA
350,1962-63,Bill Russell,,All-NBA
351,1962-63,Elgin Baylor,,All-NBA
352,1962-63,Bob Pettit,,All-NBA
353,1962-63,Oscar Robertson,,All-NBA
354,1962-63,Jerry West,,All-NBA
355,1961-62,Wilt Chamberlain,,All-NBA
356,1961-62,Elgin Baylor,,All-NBA
357,1961-62,Bob Pettit,,All-NBA
358,1961-62,Oscar Robertson,,All-NBA
359,1961-62,Jerry West,,All-NBA
360,1960-61,Wilt Chamberlain,,All-NBA
361,1960-61,Elgin Baylor,,All-NBA
362,1960-61,Bob Pettit,,All-NBA
363,1960-61,Bob Cousy,,All-NBA
364,1960-61,Oscar Robertson,,All-NBA
365,1959-60,Wilt Chamberlain,,All-NBA
366,1959-60,Elgin Baylor,,All-NBA
367,1959-60,Bob Pettit,,All-NBA
368,1959-60,Bob Cousy,,All-NBA
369,1959-60,Gene Shue,,All-NBA
370,1958-59,Bill Russell,,All-NBA
371,1958-59,Elgin Baylor,,All-NBA
372,1958-59,Bob Pettit,,All-NBA
373,1958-59,Bob Cousy,,All-NBA
374,1958-59,Bill Sharman,,All-NBA
375,1957-58,Bob Pettit,,All-NBA
376,1957-58,Dolph Schayes,,All-NBA
377,1957-58,George Yardley,,All-NBA
378,1957-58,Bob Cousy,,All-NBA
379,1957-58,Bill Sharman,,All-NBA
380,1956-57,Bob Pettit,,All-NBA
381,1956-57,Paul Arizin,,All-NBA
382,1956-57,Dolph Schayes,,All-NBA
383,1956-57,Bob Cousy,,All-NBA
384,1956-57,Bill Sharman,,All-NBA
385,1955-56,Neil Johnston,,All-NBA
386,1955-56,Paul Arizin,,All-NBA
387,1955-56,Bob Pettit,,All-NBA
388,1955-56,Bob Cousy,,All-NBA
389,1955-56,Bill Sharman,,All-NBA
390,1954-55,Bob Cousy,,All-NBA
391,1954-55,Larry Foust,,All-NBA
392,1954-55,Neil Johnston,,All-NBA
393,1954-55,Bob Pettit,,All-NBA
394,1954-55,Dolph Schayes,,All-NBA
395,1953-54,Bob Cousy,,All-NBA
396,1953-54,Harry Gallatin,,All-NBA
397,1953-54,Neil Johnston,,All-NBA
398,1953-54,George Mikan,,All-NBA
