,Season,Player,Team,Award
399,1953-54,Dolph Schayes,,All-NBA
400,1952-53,Bob Cousy,,All-NBA
401,1952-53,Neil Johnston,,All-NBA
402,1952-53,Ed Macauley,,All-NBA
403,1952-53,George Mikan,,All-NBA
404,1952-53,Dolph Schayes,,All-NBA
405,1951-52,Paul Arizin,,All-NBA
406,1951-52,Bob Cousy,,All-NBA
407,1951-52,Ed Macauley,,All-NBA
408,1951-52,George Mikan,,All-NBA
409,1951-52,Bob Davies ,
410,1950-51,Ralph Beard,,All-NBA
411,1950-51,Bob Davies,,All-NBA
412,1950-51,Alex Groza,,All-NBA
413,1950-51,Ed Macauley,,All-NBA
414,1950-51,George Mikan,,All-NBA
415,1949-50,Bob Davies,,All-NBA
416,1949-50,Alex Groza,,All-NBA
417,1949-50,George Mikan,,All-NBA
418,1949-50,Jim Pollard,,All-NBA
419,1949-50,Max Zaslofsky,,All-NBA
420,1948-49,Bob Davies,,All-NBA
421,1948-49,Joe Fulks,,All-NBA
422,1948-49,George Mikan,,All-NBA
423,1948-49,Jim Pollard,,All-NBA
424,1948-49,Max Zaslofsky,,All-NBA
425,1947-48,Howie Dallmar,,All-NBA
426,1947-48,Bob Feerick,,All-NBA
427,1947-48,Joe Fulks,,All-NBA
428,1947-48,Ed Sadowski,,All-NBA
429,1947-48,Max Zaslofsky,,All-NBA
430,1946-47,Bob Feerick,,All-NBA
431,1946-47,Joe Fulks,,All-NBA
432,1946-47,Bones McKinney,,All-NBA
433,1946-47,Stan Miasek,,All-NBA
434,1946-47,Max Zaslofsky,,All-NBA
435,2023-24,Rudy Gobert,,All-Defensive
436,2023-24,Victor Wembanyama,,All-Defensive
437,2023-24,Bam Adebayo,,All-Defensive
438,2023-24,Herbert Jones,,All-Defensive
439,2023-24,Anthony Davis,,All-Defensive
440,2022-23,Alex Caruso,,All-Defensive
441,2022-23,Jrue Holiday,,All-Defensive
442,2022-23,Jaren Jackson,,All-Defensive
443,2022-23,Brook Lopez,,All-Defensive
444,2022-23,Evan Mobley,,All-Defensive
445,2021-22,Giannis Antetokounmpo,,All-Defensive
446,2021-22,Mikal Bridges,,All-Defensive
447,2021-22,Rudy Gobert,,All-Defensive
448,2021-22,Jaren Jackson,,All-Defensive
449,2021-22,Marcus Smart,,All-Defensive
450,2020-21,Rudy Gobert,,All-Defensive
451,2020-21,Ben Simmons,,All-Defensive
452,2020-21,Draymond Green,,All-Defensive
453,2020-21,Jrue Holiday,,All-Defensive
454,2020-21,Giannis Antetokounmpo,,All-Defensive
455,2019-20,Giannis Antetokounmpo,,All-Defensive
456,2019-20,Anthony Davis,,All-Defensive
457,2019-20,Ben Simmons,,All-Defensive
458,2019-20,Rudy Gobert,,All-Defensive
459,2019-20,Marcus Smart,,All-Defensive
460,2018-19,Rudy Gobert,,All-Defensive
461,2018-19,Paul George,,All-Defensive
462,2018-19,Giannis Antetokounmpo,,All-Defensive
463,2018-19,Marcus Smart,,All-Defensive
464,2018-19,Eric Bledsoe,,All-Defensive
465,2017-18,Rudy Gobert,,All-Defensive
466,2017-18,Anthony Davis,,All-Defensive
467,2017-18,Victor Oladipo,,All-Defensive
468,2017-18,Robert Covington,,All-Defensive
469,2017-18,Jrue Holiday,,All-Defensive
470,2016-17,Kawhi Leonard,,All-Defensive
471,2016-17,Draymond Green,,All-Defensive
472,2016-17,Rudy Gobert,,All-Defensive
473,2016-17,Patrick Beverley,,All-Defensive
474,2016-17,Chris Paul,,All-Defensive
475,2015-16,Kawhi Leonard,,All-Defensive
476,2015-16,Draymond Green,,All-Defensive
477,2015-16,DeAndre Jordan,,All-Defensive
478,2015-16,Avery Bradley,,All-Defensive
479,2015-16,Chris Paul,,All-Defensive
480,2014-15,Kawhi Leonard,,All-Defensive
481,2014-15,Draymond Green,,All-Defensive
482,2014-15,Tony Allen,,All-Defensive
483,2014-15,DeAndre Jordan,,All-Defensive
484,2014-15,Chris Paul,,All-Defensive
485,2013-14,Joakim Noah,,All-Defensive
486,2013-14,Paul George,,All-Defensive
487,2013-14,Chris Paul,,All-Defensive
488,2013-14,Serge Ibaka,,All-Defensive
489,2013-14,Andre Iguodala,,All-Defensive
490,2012-13,Tony Allen,,All-Defensive
491,2012-13,Serge Ibaka,,All-Defensive
492,2012-13,LeBron James,,All-Defensive
493,2012-13,Chris Paul,,All-Defensive
494,2012-13,Tyson Chandler,,All-Defensive
495,2011-12,Tony Allen,,All-Defensive
496,2011-12,Dwight Howard,,All-Defensive
497,2011-12,Serge Ibaka,,All-Defensive
498,2011-12,LeBron James,,All-Defensive
499,2011-12,Chris Paul,,All-Defensive
500,2010-11,Kobe Bryant,,All-Defensive
501,2010-11,Kevin Garnett,,All-Defensive
502,2010-11,Dwight Howard,,All-Defensive
503,2010-11,LeBron James,,All-Defensive
504,2010-11,Rajon Rondo,,All-Defensive
505,2009-10,Kobe Bryant,,All-Defensive
506,2009-10,Dwight Howard,,All-Defensive
507,2009-10,LeBron James,,All-Defensive
508,2009-10,Rajon Rondo,,All-Defensive
509,2009-10,Gerald Wallace,,All-Defensive
510,2008-09,Kobe Bryant,,All-Defensive
511,2008-09,Kevin Garnett,,All-Defensive
512,2008-09,Dwight Howard,,All-Defensive
513,2008-09,LeBron James,,All-Defensive
514,2008-09,Chris Paul,,All-Defensive
515,2007-08,Bruce Bowen,,All-Defensive
516,2007-08,Kobe Bryant,,All-Defensive
517,2007-08,Marcus Camby,,All-Defensive
518,2007-08,Tim Duncan,,All-Defensive
519,2007-08,Kevin Garnett,,All-Defensive
520,2006-07,Raja Bell,,All-Defensive
521,2006-07,Bruce Bowen,,All-Defensive
522,2006-07,Kobe Bryant,,All-Defensive
523,2006-07,Marcus Camby,,All-Defensive
524,2006-07,Tim Duncan,,All-Defensive
525,2005-06,Metta World Peace,,All-Defensive
526,2005-06,Bruce Bowen,,All-Defensive
527,2005-06,Andrei Kirilenko,,All-Defensive
528,2005-06,Ben Wallace,,All-Defensive
529,2005-06,Kobe Bryant,,All-Defensive
530,2004-05,Bruce Bowen,,All-Defensive
531,2004-05,Tim Duncan,,All-Defensive
532,2004-05,Kevin Garnett,,All-Defensive
533,2004-05,Larry Hughes,,All-Defensive
534,2004-05,Ben Wallace,,All-Defensive
535,2003-04,Metta World Peace,,All-Defensive
536,2003-04,Bruce Bowen,,All-Defensive
537,2003-04,Kobe Bryant,,All-Defensive
538,2003-04,Kevin Garnett,,All-Defensive
539,2003-04,Ben Wallace,,All-Defensive
540,2002-03,Kobe Bryant,,All-Defensive
541,2002-03,Doug Christie,,All-Defensive
542,2002-03,Tim Duncan,,All-Defensive
543,2002-03,Kevin Garnett,,All-Defensive
544,2002-03,Ben Wallace,,All-Defensive
545,2001-02,Tim Duncan,,All-Defensive
546,2001-02,Kevin Garnett,,All-Defensive
547,2001-02,Jason Kidd,,All-Defensive
548,2001-02,Gary Payton,,All-Defensive
549,2001-02,Ben Wallace,,All-Defensive
550,2000-01,Tim Duncan,,All-Defensive
551,2000-01,Kevin Garnett,,All-Defensive
552,2000-01,Jason Kidd,,All-Defensive
553,2000-01,Dikembe Mutombo,,All-Defensive
554,2000-01,Gary Payton,,All-Defensive
555,1999-00,Kobe Bryant,,All-Defensive
556,1999-00,Tim Duncan,,All-Defensive
557,1999-00,Kevin Garnett,,All-Defensive
558,1999-00,Alonzo Mourning,,All-Defensive
559,1999-00,Gary Payton,,All-Defensive
560,1998-99,Tim Duncan,,All-Defensive
561,1998-99,Jason Kidd,,All-Defensive
562,1998-99,Alonzo Mourning,,All-Defensive
563,1998-99,Gary Payton,,All-Defensive
564,1998-99,Karl Malone,,All-Defensive
565,1997-98,Michael Jordan,,All-Defensive
566,1997-98,Karl Malone,,All-Defensive
567,1997-98,Dikembe Mutombo,,All-Defensive
568,1997-98,Gary Payton,,All-Defensive
569,1997-98,Scottie Pippen,,All-Defensive
570,1996-97,Michael Jordan,,All-Defensive
571,1996-97,Karl Malone,,All-Defensive
572,1996-97,Dikembe Mutombo,,All-Defensive
573,1996-97,Gary Payton,,All-Defensive
574,1996-97,Scottie Pippen,,All-Defensive
575,1995-96,Michael Jordan,,All-Defensive
576,1995-96,Gary Payton,,All-Defensive
577,1995-96,Scottie Pippen,,All-Defensive
578,1995-96,David Robinson,,All-Defensive
579,1995-96,Dennis Rodman,,All-Defensive
580,1994-95,Mookie Blaylock,,All-Defensive
581,1994-95,Gary Payton,,All-Defensive
582,1994-95,Scottie Pippen,,All-Defensive
583,1994-95,David Robinson,,All-Defensive
584,1994-95,Dennis Rodman,,All-Defensive
585,1993-94,Mookie Blaylock,,All-Defensive
586,1993-94,Charles Oakley,,All-Defensive
587,1993-94,Hakeem Olajuwon,,All-Defensive
588,1993-94,Gary Payton,,All-Defensive
589,1993-94,Scottie Pippen,,All-Defensive
590,1992-93,Joe Dumars,,All-Defensive
591,1992-93,Michael Jordan,,All-Defensive
592,1992-93,Hakeem Olajuwon,,All-Defensive
593,1992-93,Scottie Pippen,,All-Defensive
594,1992-93,Dennis Rodman,,All-Defensive
595,1991-92,Joe Dumars,,All-Defensive
596,1991-92,Michael Jordan,,All-Defensive
597,1991-92,Scottie Pippen,,All-Defensive
598,1991-92,David Robinson,,All-Defensive
599,1991-92,Dennis Rodman,,All-Defensive
600,1990-91,Michael Jordan,,All-Defensive
601,1990-91,Alvin Robertson,,All-Defensive
602,1990-91,David Robinson,,All-Defensive
603,1990-91,Dennis Rodman,,All-Defensive
604,1990-91,Buck Williams,,All-Defensive
605,1989-90,Joe Dumars,,All-Defensive
606,1989-90,Michael Jordan,,All-Defensive
607,1989-90,Hakeem Olajuwon,,All-Defensive
608,1989-90,Dennis Rodman,,All-Defensive
609,1989-90,Buck Williams,,All-Defensive
610,1988-89,Joe Dumars,,All-Defensive
611,1988-89,Mark Eaton,,All-Defensive
612,1988-89,Michael Jordan,,All-Defensive
613,1988-89,Larry Nance,,All-Defensive
614,1988-89,Dennis Rodman,,All-Defensive
615,1987-88,Michael Cooper,,All-Defensive
616,1987-88,Michael Jordan,,All-Defensive
617,1987-88,Rodney McCray,,All-Defensive
618,1987-88,Kevin McHale,,All-Defensive
619,1987-88,Hakeem Olajuwon,,All-Defensive
620,1986-87,Michael Cooper,,All-Defensive
621,1986-87,Dennis Johnson,,All-Defensive
622,1986-87,Kevin McHale,,All-Defensive
623,1986-87,Hakeem Olajuwon,,All-Defensive
624,1986-87,Alvin Robertson,,All-Defensive
625,1985-86,Maurice Cheeks,,All-Defensive
626,1985-86,Mark Eaton,,All-Defensive
627,1985-86,Kevin McHale,,All-Defensive
628,1985-86,Sidney Moncrief,,All-Defensive
629,1985-86,Paul Pressey,,All-Defensive
630,1984-85,Maurice Cheeks,,All-Defensive
631,1984-85,Michael Cooper,,All-Defensive
632,1984-85,Mark Eaton,,All-Defensive
633,1984-85,Sidney Moncrief,,All-Defensive
634,1984-85,Paul Pressey,,All-Defensive
635,1983-84,Maurice Cheeks,,All-Defensive
636,1983-84,Michael Cooper,,All-Defensive
637,1983-84,Bobby Jones,,All-Defensive
638,1983-84,Sidney Moncrief,,All-Defensive
639,1983-84,Tree Rollins,,All-Defensive
640,1982-83,Bobby Jones,,All-Defensive
641,1982-83,Moses Malone,,All-Defensive
642,1982-83,Sidney Moncrief,,All-Defensive
643,1982-83,Dan Roundfield,,All-Defensive
644,1982-83,Maurice Cheeks,,All-Defensive
645,1981-82,Michael Cooper,,All-Defensive
646,1981-82,Dennis Johnson,,All-Defensive
647,1981-82,Bobby Jones,,All-Defensive
648,1981-82,Caldwell Jones,,All-Defensive
649,1981-82,Dan Roundfield,,All-Defensive
650,1980-81,Kareem Abdul-Jabbar,,All-Defensive
651,1980-81,Dennis Johnson,,All-Defensive
652,1980-81,Bobby Jones,,All-Defensive
653,1980-81,Caldwell Jones,,All-Defensive
654,1980-81,Michael Ray Richardson,,All-Defensive
655,1979-80,Kareem Abdul-Jabbar,,All-Defensive
656,1979-80,Dennis Johnson,,All-Defensive
657,1979-80,Bobby Jones,,All-Defensive
658,1979-80,Dan Roundfield,,All-Defensive
659,1979-80,Don Buse,,All-Defensive
660,1978-79,Kareem Abdul-Jabbar,,All-Defensive
661,1978-79,Don Buse,,All-Defensive
662,1978-79,Bob Dandridge,,All-Defensive
663,1978-79,Dennis Johnson,,All-Defensive
664,1978-79,Bobby Jones,,All-Defensive
665,1977-78,Don Buse,,All-Defensive
666,1977-78,Lionel Hollins,,All-Defensive
667,1977-78,Bobby Jones,,All-Defensive
668,1977-78,Maurice Lucas,,All-Defensive
669,1977-78,Bill Walton,,All-Defensive
670,1976-77,Don Buse,,All-Defensive
671,1976-77,E.C. Coleman,,All-Defensive
672,1976-77,Bobby Jones,,All-Defensive
673,1976-77,Norm Van Lier,,All-Defensive
674,1976-77,Bill Walton,,All-Defensive
675,1975-76,Dave Cowens,,All-Defensive
676,1975-76,John Havlicek,,All-Defensive
677,1975-76,Paul Silas,,All-Defensive
678,1975-76,Norm Van Lier,,All-Defensive
679,1975-76,Slick Watts,,All-Defensive
680,1975-76,Don Buse,,All-Defensive
681,1975-76,Julius Erving,,All-Defensive
682,1975-76,Artis Gilmore,,All-Defensive
683,1975-76,Bobby Jones,,All-Defensive
684,1975-76,Brian Taylor,,All-Defensive
685,1974-75,Kareem Abdul-Jabbar,,All-Defensive
686,1974-75,Walt Frazier,,All-Defensive
687,1974-75,John Havlicek,,All-Defensive
688,1974-75,Paul Silas,,All-Defensive
689,1974-75,Jerry Sloan,,All-Defensive
690,1974-75,Don Buse,,All-Defensive
691,1974-75,Artis Gilmore,,All-Defensive
692,1974-75,Bobby Jones,,All-Defensive
693,1974-75,Wil Jones,,All-Defensive
694,1974-75,Brian Taylor,,All-Defensive
695,1973-74,Kareem Abdul-Jabbar,,All-Defensive
696,1973-74,Dave DeBusschere,,All-Defensive
697,1973-74,John Havlicek,,All-Defensive
698,1973-74,Norm Van Lier,,All-Defensive
699,1973-74,Walt Frazier,,All-Defensive
700,1973-74,Artis Gilmore,,All-Defensive
701,1973-74,Julius Keye,,All-Defensive
702,1973-74,Ted McClain,,All-Defensive
703,1973-74,Willie Wise,,All-Defensive
704,1973-74,Mike Gale, All-Defensive
705,1972-73,Wilt Chamberlain,,All-Defensive
706,1972-73,Dave DeBusschere,,All-Defensive
707,1972-73,Walt Frazier,,All-Defensive
708,1972-73,John Havlicek,,All-Defensive
709,1972-73,Jerry West,,All-Defensive
710,1972-73,Mike Gale,,All-Defensive
711,1972-73,Artis Gilmore,,All-Defensive
712,1972-73,Fatty Taylor,,All-Defensive
713,1972-73,Willie Wise,,All-Defensive
714,1972-73,Joe Caldwell,All-Defensive
715,1971-72,Wilt Chamberlain,,All-Defensive
716,1971-72,Dave DeBusschere,,All-Defensive
717,1971-72,John Havlicek,,All-Defensive
718,1971-72,Jerry West,,All-Defensive
719,1971-72,Walt Frazier,All-Defensive
720,1970-71,Dave DeBusschere,,All-Defensive
721,1970-71,Walt Frazier,,All-Defensive
722,1970-71,Gus Johnson,,All-Defensive
723,1970-71,Nate Thurmond,,All-Defensive
724,1970-71,Jerry West,,All-Defensive
725,1969-70,Dave DeBusschere,,All-Defensive
726,1969-70,Walt Frazier,,All-Defensive
727,1969-70,Gus Johnson,,All-Defensive
728,1969-70,Willis Reed,,All-Defensive
729,1969-70,Jerry West,,All-Defensive
730,1968-69,Dave DeBusschere,,All-Defensive
731,1968-69,Walt Frazier,,All-Defensive
732,1968-69,Bill Russell,,All-Defensive
733,1968-69,Jerry Sloan,,All-Defensive
734,1968-69,Nate Thurmond,,All-Defensive
735,1971-72, Jerry Sloan ,,All-Defensive
736,1972-73,Julius Keye ,,All-Defensive
737,1973-74,Fatty Taylor ,,All-Defensive
738,1951-52, Dolph Schayes ,,All-NBA
739,1973-74, Jerry Sloan ,,All-Defensive
740,1979-80, Michael Ray Richardson,,All-Defensive
741,1982-83,Dennis Johnson ,,All-Defensive
742,1998-99, Scottie Pippen,,All-Defensive
743,2005-06, Jason Kidd ,,All-Defensive
744,2012-13,Tyson Chandler,,All-Defensive
